id,duration,role,question,option,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,selection,m1_vs_m2
8,614,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
11,2860,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
20,794,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
24,531,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
33,1533,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
34,1906,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
52,888,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Statistician/analyst/methodologist",question_3,000,0,0,0,1,1,1,NA
54,1224,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
58,1536,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
62,1245,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
63,1867,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
67,580,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
69,10316,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
74,862,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
75,3065,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
88,580,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,1,NA
91,920,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
93,1041,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
94,1941,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
100,870,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
102,1080,Librarian or information scientist,question_3,000,0,0,0,1,1,1,NA
1,232,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
2,2347,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
4,882,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,0,NA
5,508,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
7,621,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,0,NA
9,1987,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
10,259,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
12,366,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Librarian or information scientist",question_3,000,0,0,0,1,1,0,NA
13,838,Statistician/analyst/methodologist,question_3,000,0,0,0,1,1,0,NA
15,2561,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
16,1687,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
17,518,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,0,NA
18,1054,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
21,1272,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,0,NA
22,450,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
23,983,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Librarian or information scientist",question_3,000,0,0,0,1,1,0,NA
26,3297,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role)",question_3,000,0,0,0,1,1,0,NA
27,839,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
28,859,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
30,2442,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Statistician/analyst/methodologist",question_3,000,0,0,0,1,1,0,NA
31,728,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Statistician/analyst/methodologist,Software engineer,Computer scientist",question_3,000,0,0,0,1,1,0,NA
32,865,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Librarian or information scientist,Statistician/analyst/methodologist",question_3,000,0,0,0,1,1,0,NA
35,10125,"Systematic Review methodologist (Primary Investigator, Research Associate, or similar role),Librarian or information scientist",question_3,000,0,0,0,1,1,0,NA
39,10331,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
40,1091,Librarian or information scientist,question_3,000,0,0,0,1,1,0,NA
